Skills,Apple,AmeriSourceBergen,Berkshire Hathaway,AT&T,McKesson,Exxon Mobil,General Motors,UnitedHealth Group,Walgreens,Verizon,Amazon,Walmart,CVS Health,Total
perpetual inventory,0,0,0,0,0,0,0,0,0,0,0,5,0,5
floor scrubbers,0,0,0,0,0,0,0,0,0,0,0,5,0,5
tenacity,4,0,0,0,0,0,0,0,0,0,1,0,0,5
cost reduction,0,0,0,0,0,0,4,0,0,0,1,0,0,5
group work,0,0,0,0,0,0,4,1,0,0,0,0,0,5
manufacturing engineering,0,0,0,0,0,0,4,0,0,0,1,0,0,5
rapid prototyping,0,0,0,0,1,0,4,0,0,0,0,0,0,5
sonarqube,0,0,0,0,0,0,4,1,0,0,0,0,0,5
wms,0,0,0,0,1,0,4,0,0,0,0,0,0,5
litigation strategy,0,0,4,0,0,0,0,1,0,0,0,0,0,5
build events,0,0,0,0,0,0,1,0,4,0,0,0,0,5
business ethics,0,0,0,0,1,0,0,0,4,0,0,0,0,5
site reliability engineering,0,0,0,4,0,0,1,0,0,0,0,0,0,5
communication planning,0,0,0,4,0,0,1,0,0,0,0,0,0,5
digital media,0,0,0,4,1,0,0,0,0,0,0,0,0,5
diagnostic tests,0,0,0,1,0,0,0,0,0,0,0,4,0,5
equipment maintenance,0,0,0,0,3,1,0,1,0,0,0,0,0,5
valves,0,0,0,0,3,1,1,0,0,0,0,0,0,5
nice,0,0,0,1,0,3,0,0,0,0,1,0,0,5
general ledger,0,0,0,1,1,0,0,3,0,0,0,0,0,5
docker container,0,0,0,0,0,0,3,2,0,0,0,0,0,5
instrumentation,0,0,0,0,0,2,3,0,0,0,0,0,0,5
soapui,0,0,0,0,1,0,3,1,0,0,0,0,0,5
infrastructure security,0,0,3,0,2,0,0,0,0,0,0,0,0,5
incident response,0,0,3,0,1,0,0,0,0,0,1,0,0,5
development review,0,0,3,0,0,0,2,0,0,0,0,0,0,5
marketing materials,0,0,3,0,1,0,0,1,0,0,0,0,0,5
agile project management,0,0,0,3,0,0,1,0,0,0,1,0,0,5
session,0,0,0,3,0,0,1,1,0,0,0,0,0,5
project management office,0,0,0,0,1,1,0,0,0,3,0,0,0,5
category strategy,0,0,0,0,2,0,0,0,0,3,0,0,0,5
business science,0,0,0,0,0,0,0,0,0,3,0,2,0,5
business communication,0,0,0,0,0,0,0,1,0,1,0,3,0,5
continuous improvement process,0,0,0,0,1,2,2,0,0,0,0,0,0,5
materials management,0,0,0,0,1,2,2,0,0,0,0,0,0,5
risk analysis,0,0,1,0,0,2,1,0,0,0,1,0,0,5
data extraction,0,0,0,0,0,2,0,2,0,0,1,0,0,5
learning support,0,0,0,0,0,0,1,2,0,0,2,0,0,5
imaging,0,0,0,0,1,0,0,2,0,0,1,1,0,5
action oriented,0,0,0,1,0,0,2,0,0,0,2,0,0,5
creative thinking,0,0,2,0,0,1,2,0,0,0,0,0,0,5
ergonomics,0,0,0,0,0,1,2,0,0,0,2,0,0,5
graphic design,0,0,0,0,1,0,2,1,0,0,1,0,0,5
performance testing,0,0,0,2,0,0,2,1,0,0,0,0,0,5
security technology,0,0,1,0,0,1,2,0,0,0,1,0,0,5
solution architecture,0,0,0,0,0,1,2,1,0,0,1,0,0,5
resourcefulness,0,0,2,1,0,0,1,1,0,0,0,0,0,5
product marketing,0,0,2,0,0,0,0,1,0,0,2,0,0,5
android,0,0,0,1,0,0,1,0,0,2,1,0,0,5
visual design,0,0,0,0,1,1,0,1,0,0,2,0,0,5
application security,0,0,1,0,1,0,1,0,0,0,2,0,0,5
business statistics,0,1,4,0,0,0,0,0,0,0,0,0,0,5
impact assessment,0,1,0,4,0,0,0,0,0,0,0,0,0,5
due diligence,0,1,0,0,3,1,0,0,0,0,0,0,0,5
front office,0,1,0,0,0,1,0,3,0,0,0,0,0,5
tracking systems,0,1,3,0,0,0,1,0,0,0,0,0,0,5
resilience,0,1,0,0,0,0,0,1,0,3,0,0,0,5
technical management,0,1,0,1,0,0,0,0,0,0,3,0,0,5
data intelligence,0,1,0,0,0,0,1,0,0,0,3,0,0,5
spss,0,1,0,0,0,0,1,0,0,0,3,0,0,5
project scoping,0,1,0,0,0,0,1,0,0,0,3,0,0,5
salesforce.com,0,1,0,0,2,0,0,0,0,0,2,0,0,5
business liaison,0,1,0,0,2,0,1,0,0,0,1,0,0,5
data files,0,1,0,0,0,2,2,0,0,0,0,0,0,5
checklists,0,1,0,0,1,0,1,2,0,0,0,0,0,5
application data,0,1,1,0,0,0,2,0,0,0,1,0,0,5
product requirements,0,1,0,1,0,0,2,0,0,0,1,0,0,5
salesforce.com,0,1,0,0,2,0,0,0,0,0,2,0,0,5
biopharmaceuticals,0,2,0,0,3,0,0,0,0,0,0,0,0,5
commercialization,0,2,0,0,3,0,0,0,0,0,0,0,0,5
touchpoint,0,2,0,0,0,2,1,0,0,0,0,0,0,5
professional communication,0,2,0,0,1,0,0,0,0,0,2,0,0,5
succession planning,0,2,0,0,0,0,0,1,0,0,0,2,0,5
clinical research,0,3,0,0,1,0,0,1,0,0,0,0,0,5
system integration testing,0,3,0,1,0,0,0,0,0,1,0,0,0,5
payment processing,0,3,0,0,0,0,0,0,0,0,0,2,0,5
legislation,0,4,0,0,0,0,0,0,0,0,1,0,0,5
communication strategies,0,0,0,0,4,0,0,0,0,0,0,0,0,4
relay logic,0,0,0,0,4,0,0,0,0,0,0,0,0,4
switchgear,0,0,0,0,4,0,0,0,0,0,0,0,0,4
mechanical systems,0,0,0,0,4,0,0,0,0,0,0,0,0,4
petrochemical,0,0,0,0,0,4,0,0,0,0,0,0,0,4
numeracy,0,0,0,0,0,4,0,0,0,0,0,0,0,4
active directory,0,0,0,0,0,4,0,0,0,0,0,0,0,4
hydrocarbon,0,0,0,0,0,4,0,0,0,0,0,0,0,4
korn shell,0,0,0,0,0,4,0,0,0,0,0,0,0,4
community mental health,0,0,0,0,0,0,0,4,0,0,0,0,0,4
social work,0,0,0,0,0,0,0,4,0,0,0,0,0,4
radiology,0,0,0,0,0,0,0,4,0,0,0,0,0,4
tuberculosis,0,0,0,0,0,0,0,4,0,0,0,0,0,4
prior authorization,0,0,0,0,0,0,0,4,0,0,0,0,0,4
aerospace engineering,0,0,0,0,0,0,4,0,0,0,0,0,0,4
artifactory,0,0,0,0,0,0,4,0,0,0,0,0,0,4
automotive design,0,0,0,0,0,0,4,0,0,0,0,0,0,4
benchmarking,0,0,0,0,0,0,4,0,0,0,0,0,0,4
embedded software,0,0,0,0,0,0,4,0,0,0,0,0,0,4
latin,0,0,0,0,0,0,4,0,0,0,0,0,0,4
localization,0,0,0,0,0,0,4,0,0,0,0,0,0,4
manufacturing operations,0,0,0,0,0,0,4,0,0,0,0,0,0,4
mari,0,0,0,0,0,0,4,0,0,0,0,0,0,4
obsolescence,0,0,0,0,0,0,4,0,0,0,0,0,0,4
physical stamina,0,0,0,0,0,0,4,0,0,0,0,0,0,4
radar,0,0,0,0,0,0,4,0,0,0,0,0,0,4
ship management,0,0,0,0,0,0,4,0,0,0,0,0,0,4
shrink wrapping,0,0,0,0,0,0,4,0,0,0,0,0,0,4
spy++,0,0,0,0,0,0,4,0,0,0,0,0,0,4
system safety,0,0,0,0,0,0,4,0,0,0,0,0,0,4
verification and validation,0,0,0,0,0,0,4,0,0,0,0,0,0,4
work measurement,0,0,0,0,0,0,4,0,0,0,0,0,0,4
bind,0,0,4,0,0,0,0,0,0,0,0,0,0,4
statistical inference,0,0,4,0,0,0,0,0,0,0,0,0,0,4
web ui,0,0,4,0,0,0,0,0,0,0,0,0,0,4
algebra,0,0,4,0,0,0,0,0,0,0,0,0,0,4
legal analysis,0,0,4,0,0,0,0,0,0,0,0,0,0,4
legal knowledge,0,0,4,0,0,0,0,0,0,0,0,0,0,4
legal research,0,0,4,0,0,0,0,0,0,0,0,0,0,4
casualty insurance,0,0,4,0,0,0,0,0,0,0,0,0,0,4
business performance management,0,0,0,0,0,0,0,0,4,0,0,0,0,4
drug interaction,0,0,0,0,0,0,0,0,4,0,0,0,0,4
vaccines,0,0,0,0,0,0,0,0,4,0,0,0,0,4
bridges,0,0,0,0,0,0,0,0,0,4,0,0,0,4
wireless networks,0,0,0,0,0,0,0,0,0,4,0,0,0,4
contact lenses,0,0,0,0,0,0,0,0,0,0,0,4,0,4
eye examination,0,0,0,0,0,0,0,0,0,0,0,4,0,4
system integrity,0,0,0,0,0,3,0,0,0,0,1,0,0,4
kerberos,0,0,0,0,0,3,0,0,0,0,1,0,0,4
environmental health,0,0,0,0,0,3,0,0,0,0,1,0,0,4
balance sheet,0,0,0,0,1,3,0,0,0,0,0,0,0,4
algorithm design,0,0,0,0,0,0,3,0,0,0,1,0,0,4
coordinate systems,0,0,0,0,0,0,3,1,0,0,0,0,0,4
laser,0,0,0,0,1,0,3,0,0,0,0,0,0,4
magine,0,0,0,1,0,0,3,0,0,0,0,0,0,4
mechatronics,0,0,0,0,0,0,3,0,0,0,1,0,0,4
test equipment,0,0,0,0,0,0,3,0,0,0,1,0,0,4
api gateway,0,0,3,0,0,0,0,0,0,0,1,0,0,4
react native,0,0,3,0,0,0,0,0,0,0,1,0,0,4
reference architecture,0,0,3,0,0,0,0,0,0,0,1,0,0,4
application firewall,0,0,3,0,1,0,0,0,0,0,0,0,0,4
bootstrap,0,0,3,0,0,0,0,1,0,0,0,0,0,4
retrospective reviews,0,0,3,0,0,0,1,0,0,0,0,0,0,4
user story,0,0,3,0,0,1,0,0,0,0,0,0,0,4
datafield,0,0,3,0,0,0,0,0,0,0,1,0,0,4
blood pressure,0,0,0,0,0,0,0,0,3,0,0,1,0,4
agile management,0,0,0,3,0,1,0,0,0,0,0,0,0,4
network engineering,0,0,0,0,0,0,1,0,0,3,0,0,0,4
risk reduction,0,0,0,0,0,1,0,0,0,3,0,0,0,4
supply management,0,0,0,0,0,0,0,0,0,3,1,0,0,4
engineering economics,0,0,0,0,0,1,0,0,0,3,0,0,0,4
g programming language,0,0,0,0,0,0,1,0,0,0,3,0,0,4
billing systems,0,0,0,0,0,0,0,1,0,0,3,0,0,4
fundamental science,0,0,0,0,0,0,1,0,0,0,3,0,0,4
software architecture,0,0,0,0,0,0,0,1,0,0,3,0,0,4
business marketing,1,0,0,0,0,0,0,0,0,0,3,0,0,4
repairing,0,0,0,0,0,0,1,0,0,0,0,3,0,4
organizational change,0,0,0,0,0,0,0,0,0,0,1,3,0,4
listening skills,2,0,0,0,0,0,0,1,0,0,1,0,0,4
customer relationship management,2,0,0,0,1,0,0,0,0,0,1,0,0,4
photography,2,0,0,0,0,0,0,1,0,0,1,0,0,4
gastroenterology,0,0,0,0,2,0,0,2,0,0,0,0,0,4
rheumatology,0,0,0,0,2,0,0,2,0,0,0,0,0,4
capacity planning,0,0,0,0,2,0,0,0,0,2,0,0,0,4
staff management,0,0,0,1,2,0,0,1,0,0,0,0,0,4
hvac,0,0,0,0,2,0,2,0,0,0,0,0,0,4
production systems,0,0,0,1,2,1,0,0,0,0,0,0,0,4
negotiation strategies,0,0,0,0,2,2,0,0,0,0,0,0,0,4
order processing,0,0,0,0,2,0,0,1,0,0,1,0,0,4
conveyor systems,0,0,0,0,2,0,2,0,0,0,0,0,0,4
data architecture,0,0,0,0,0,2,0,0,0,0,2,0,0,4
chemical engineering,0,0,0,0,0,2,2,0,0,0,0,0,0,4
entity framework,0,0,0,0,0,2,0,2,0,0,0,0,0,4
cucumber,0,0,0,0,0,2,0,2,0,0,0,0,0,4
requisition,0,0,2,0,0,2,0,0,0,0,0,0,0,4
post-production,0,0,0,0,0,2,1,0,0,0,1,0,0,4
business reporting,0,0,0,1,0,2,0,1,0,0,0,0,0,4
software design patterns,0,0,0,1,0,2,0,0,0,0,0,1,0,4
deployment support,0,0,0,0,1,0,1,2,0,0,0,0,0,4
requirements analysis,0,0,0,0,0,0,1,2,0,0,1,0,0,4
subrogation,0,0,2,0,0,0,0,2,0,0,0,0,0,4
office procedures,0,0,0,0,0,0,0,2,0,0,0,2,0,4
closed loop,0,0,0,0,0,0,2,0,0,2,0,0,0,4
cloud development,0,0,0,0,0,1,2,1,0,0,0,0,0,4
end systems,0,0,0,0,0,0,2,0,0,0,2,0,0,4
process validation,0,0,0,0,0,0,2,0,0,0,1,1,0,4
redis,0,0,0,1,0,1,2,0,0,0,0,0,0,4
swift,0,0,2,0,0,0,0,0,0,1,1,0,0,4
active listening,0,0,2,0,0,0,0,1,0,0,1,0,0,4
sampling,0,0,2,1,0,0,0,0,0,0,0,0,1,4
appraisals,0,0,2,0,0,0,0,0,0,0,0,0,2,4
performance appraisal,0,0,2,0,0,0,0,0,0,0,0,0,2,4
subrogation,0,0,2,0,0,0,0,2,0,0,0,0,0,4
load testing,0,0,0,2,0,0,1,0,0,1,0,0,0,4
computer security,0,0,0,2,0,0,1,0,0,0,1,0,0,4
php,0,0,0,2,0,1,0,0,0,1,0,0,0,4
broadband,0,0,0,2,0,0,0,0,0,0,2,0,0,4
consultative selling,0,0,0,2,0,0,1,0,0,1,0,0,0,4
jira,0,0,1,0,0,0,1,0,0,2,0,0,0,4
project engineering,0,0,0,0,0,0,0,0,0,2,2,0,0,4
microsoft outlook,0,0,0,0,1,0,0,1,0,0,2,0,0,4
first aid,0,0,0,0,0,1,0,1,0,0,2,0,0,4
apache spark,0,0,0,0,0,0,1,0,0,0,2,1,0,4
persistence,1,0,0,0,0,0,0,1,0,0,2,0,0,4
agile projects,0,0,0,0,0,1,1,0,0,0,2,0,0,4
complex problem solving,0,0,0,0,0,0,1,0,0,1,2,0,0,4
financial planning,0,0,0,0,1,0,0,1,0,1,0,1,0,4
resource planning,0,0,0,0,1,1,1,0,0,0,1,0,0,4
strategic thinking,0,0,0,0,1,1,0,1,0,0,1,0,0,4
target audience,0,0,0,1,0,0,0,1,0,0,1,1,0,4
financial data,0,1,0,0,0,3,0,0,0,0,0,0,0,4
pre-production,0,1,0,0,0,0,3,0,0,0,0,0,0,4
applicant tracking systems,0,1,3,0,0,0,0,0,0,0,0,0,0,4
emotional intelligence,0,1,0,0,0,0,0,0,0,3,0,0,0,4
executive leadership,0,1,0,0,0,0,0,0,0,0,3,0,0,4
patch management,0,1,0,0,1,2,0,0,0,0,0,0,0,4
medical education,0,1,0,0,1,0,0,2,0,0,0,0,0,4
oracle databases,0,1,0,0,0,0,2,1,0,0,0,0,0,4
organization development,0,1,0,0,0,0,2,0,0,0,1,0,0,4
requirements management,0,1,0,0,0,0,2,0,0,0,1,0,0,4
warehouse operations,0,1,0,0,1,0,2,0,0,0,0,0,0,4
source codes,0,1,0,2,0,0,0,0,0,1,0,0,0,4
peer support,0,1,0,0,0,0,1,0,0,2,0,0,0,4
security policies,0,1,1,0,0,0,0,0,0,2,0,0,0,4
configuration design,0,1,0,0,0,1,0,0,0,2,0,0,0,4
e-learning development,0,1,0,0,0,0,0,1,0,0,2,0,0,4
learning development,0,1,0,0,0,0,0,1,0,0,2,0,0,4
leadership development,0,1,0,0,1,0,0,0,0,1,1,0,0,4
financial services,0,1,0,0,0,1,0,1,0,0,1,0,0,4
access controls,0,1,1,0,0,0,1,0,0,0,1,0,0,4
knowledge management,0,1,0,0,0,0,1,0,0,1,1,0,0,4
dispute resolution,0,2,2,0,0,0,0,0,0,0,0,0,0,4
process integration,0,2,0,1,0,1,0,0,0,0,0,0,0,4
technical assistance,1,2,0,0,0,0,0,0,0,0,1,0,0,4
json,0,2,0,0,0,1,1,0,0,0,0,0,0,4
public cloud,0,2,0,0,0,0,0,1,0,0,1,0,0,4
health economics,0,3,0,0,0,0,0,1,0,0,0,0,0,4
design thinking,0,3,0,0,0,0,1,0,0,0,0,0,0,4
data sharing,3,0,0,0,0,0,0,0,0,0,0,0,0,3
openup,3,0,0,0,0,0,0,0,0,0,0,0,0,3
differentials,0,0,0,0,3,0,0,0,0,0,0,0,0,3
solenoid,0,0,0,0,3,0,0,0,0,0,0,0,0,3
business mathematics,0,0,0,0,0,3,0,0,0,0,0,0,0,3
authentication protocols,0,0,0,0,0,3,0,0,0,0,0,0,0,3
aviation,0,0,0,0,0,3,0,0,0,0,0,0,0,3
fixed asset,0,0,0,0,0,3,0,0,0,0,0,0,0,3
key control,0,0,0,0,0,3,0,0,0,0,0,0,0,3
tax accounting,0,0,0,0,0,3,0,0,0,0,0,0,0,3
terminal server,0,0,0,0,0,3,0,0,0,0,0,0,0,3
sap fi,0,0,0,0,0,3,0,0,0,0,0,0,0,3
wound care,0,0,0,0,0,0,0,3,0,0,0,0,0,3
infection control,0,0,0,0,0,0,0,3,0,0,0,0,0,3
inflection,0,0,0,0,0,0,0,3,0,0,0,0,0,3
urgent care,0,0,0,0,0,0,0,3,0,0,0,0,0,3
process optimization,0,0,0,0,0,0,0,3,0,0,0,0,0,3
healthcare customer service,0,0,0,0,0,0,0,3,0,0,0,0,0,3
clinical assessments,0,0,0,0,0,0,0,3,0,0,0,0,0,3
human services,0,0,0,0,0,0,0,3,0,0,0,0,0,3
telehealth,0,0,0,0,0,0,0,3,0,0,0,0,0,3
hypertension,0,0,0,0,0,0,0,3,0,0,0,0,0,3
anti-patterns,0,0,0,0,0,0,3,0,0,0,0,0,0,3
automotive manufacturing,0,0,0,0,0,0,3,0,0,0,0,0,0,3
backlogs,0,0,0,0,0,0,3,0,0,0,0,0,0,3
brake,0,0,0,0,0,0,3,0,0,0,0,0,0,3
casting,0,0,0,0,0,0,3,0,0,0,0,0,0,3
cloud foundry,0,0,0,0,0,0,3,0,0,0,0,0,0,3
cloudfoundry,0,0,0,0,0,0,3,0,0,0,0,0,0,3
code generation,0,0,0,0,0,0,3,0,0,0,0,0,0,3
dari,0,0,0,0,0,0,3,0,0,0,0,0,0,3
diction,0,0,0,0,0,0,3,0,0,0,0,0,0,3
dspace,0,0,0,0,0,0,3,0,0,0,0,0,0,3
electric motors,0,0,0,0,0,0,3,0,0,0,0,0,0,3
eprint,0,0,0,0,0,0,3,0,0,0,0,0,0,3
foundry,0,0,0,0,0,0,3,0,0,0,0,0,0,3
ibm rational team concert,0,0,0,0,0,0,3,0,0,0,0,0,0,3
language development,0,0,0,0,0,0,3,0,0,0,0,0,0,3
lookahead,0,0,0,0,0,0,3,0,0,0,0,0,0,3
mockup,0,0,0,0,0,0,3,0,0,0,0,0,0,3
roofing,0,0,0,0,0,0,3,0,0,0,0,0,0,3
rsa,0,0,0,0,0,0,3,0,0,0,0,0,0,3
sms,0,0,0,0,0,0,3,0,0,0,0,0,0,3
stamping,0,0,0,0,0,0,3,0,0,0,0,0,0,3
sync,0,0,0,0,0,0,3,0,0,0,0,0,0,3
teamcenter,0,0,0,0,0,0,3,0,0,0,0,0,0,3
time study,0,0,0,0,0,0,3,0,0,0,0,0,0,3
azure databricks,0,0,3,0,0,0,0,0,0,0,0,0,0,3
cloud migration,0,0,3,0,0,0,0,0,0,0,0,0,0,3
application frameworks,0,0,3,0,0,0,0,0,0,0,0,0,0,3
architecture framework,0,0,3,0,0,0,0,0,0,0,0,0,0,3
authorization certificates,0,0,3,0,0,0,0,0,0,0,0,0,0,3
azure cloud services,0,0,3,0,0,0,0,0,0,0,0,0,0,3
azuread,0,0,3,0,0,0,0,0,0,0,0,0,0,3
proxy servers,0,0,3,0,0,0,0,0,0,0,0,0,0,3
shared resource,0,0,3,0,0,0,0,0,0,0,0,0,0,3
manage profitability,0,0,3,0,0,0,0,0,0,0,0,0,0,3
event management,0,0,3,0,0,0,0,0,0,0,0,0,0,3
syntax,0,0,3,0,0,0,0,0,0,0,0,0,0,3
dependency injection,0,0,3,0,0,0,0,0,0,0,0,0,0,3
jquery ui,0,0,3,0,0,0,0,0,0,0,0,0,0,3
software business analysis,0,0,3,0,0,0,0,0,0,0,0,0,0,3
software product management,0,0,3,0,0,0,0,0,0,0,0,0,0,3
employment compliance,0,0,0,0,0,0,0,0,3,0,0,0,0,3
medication therapy management,0,0,0,0,0,0,0,0,3,0,0,0,0,3
quantification,0,0,0,3,0,0,0,0,0,0,0,0,0,3
cyber defense,0,0,0,0,0,0,0,0,0,3,0,0,0,3
cyber resilience,0,0,0,0,0,0,0,0,0,3,0,0,0,3
cyber security strategy,0,0,0,0,0,0,0,0,0,3,0,0,0,3
executable,0,0,0,0,0,0,0,0,0,3,0,0,0,3
transformational leadership,0,0,0,0,0,0,0,0,0,3,0,0,0,3
association management,0,0,0,0,0,0,0,0,0,3,0,0,0,3
certified commercial contracts manager,0,0,0,0,0,0,0,0,0,3,0,0,0,3
certified professional contracts manager,0,0,0,0,0,0,0,0,0,3,0,0,0,3
certified purchasing manager,0,0,0,0,0,0,0,0,0,3,0,0,0,3
contingent workforce,0,0,0,0,0,0,0,0,0,3,0,0,0,3
strategic sourcing,0,0,0,0,0,0,0,0,0,3,0,0,0,3
capital expenditure,0,0,0,0,0,0,0,0,0,3,0,0,0,3
cash flows,0,0,0,0,0,0,0,0,0,3,0,0,0,3
building automation,0,0,0,0,0,0,0,0,0,0,3,0,0,3
diving,0,0,0,0,0,0,0,0,0,0,3,0,0,3
natural language processing,0,0,0,0,0,0,0,0,0,0,3,0,0,3
tutorials,0,0,0,0,0,0,0,0,0,0,3,0,0,3
iis manager,0,0,0,0,0,0,0,0,0,0,0,0,3,3
tires,0,0,0,0,0,0,0,0,0,0,0,3,0,3
food quality,0,0,0,0,0,0,0,0,0,0,0,3,0,3
business technologies,2,0,0,0,0,0,0,0,0,0,1,0,0,3
compression,0,0,0,0,2,0,0,0,0,0,1,0,0,3
riverbed,0,0,0,1,2,0,0,0,0,0,0,0,0,3
category management,0,0,0,0,2,1,0,0,0,0,0,0,0,3
analytical thinking,0,0,0,0,2,0,0,0,0,0,1,0,0,3
flux,0,0,0,0,2,0,0,0,0,0,1,0,0,3
brand marketing,0,0,0,0,2,0,0,0,0,0,1,0,0,3
clinical trials,0,0,0,0,2,0,0,1,0,0,0,0,0,3
commissioning,0,0,0,0,0,2,0,0,0,0,1,0,0,3
civil engineering,0,0,0,0,0,2,1,0,0,0,0,0,0,3
sales process,0,0,0,0,1,2,0,0,0,0,0,0,0,3
microsoft windows,0,0,0,0,0,2,0,0,0,1,0,0,0,3
postman,0,0,0,0,0,2,0,1,0,0,0,0,0,3
test strategy,0,0,0,0,0,2,1,0,0,0,0,0,0,3
occupational health,0,0,0,0,0,2,0,1,0,0,0,0,0,3
incident reporting,0,0,0,0,0,2,0,0,0,0,1,0,0,3
technology strategies,0,0,0,0,0,2,1,0,0,0,0,0,0,3
income tax,0,0,0,0,0,2,0,1,0,0,0,0,0,3
einstruction,0,0,1,0,0,2,0,0,0,0,0,0,0,3
sap hana,0,0,0,0,0,2,1,0,0,0,0,0,0,3
netscaler,0,0,0,0,1,2,0,0,0,0,0,0,0,3
workstations,0,0,0,0,0,2,0,0,0,0,0,0,1,3
visual c++,0,0,1,0,0,2,0,0,0,0,0,0,0,3
mise en place,0,0,0,0,0,2,0,0,0,0,1,0,0,3
asic programming language,0,0,0,0,0,0,0,2,0,0,1,0,0,3
web development,0,0,0,0,0,0,0,2,0,0,1,0,0,3
health administration,0,0,0,0,0,1,0,2,0,0,0,0,0,3
anatomy,0,0,1,0,0,0,0,2,0,0,0,0,0,3
physiology,0,0,1,0,0,0,0,2,0,0,0,0,0,3
medical equipment,0,0,0,0,1,0,0,2,0,0,0,0,0,3
immunology,0,0,0,0,1,0,0,2,0,0,0,0,0,3
annual enrollments,0,0,0,0,1,0,2,0,0,0,0,0,0,3
batteries,0,0,0,0,0,0,2,0,0,0,0,1,0,3
conflict management,0,0,0,0,0,0,2,1,0,0,0,0,0,3
cooling systems,0,0,0,0,0,0,2,0,0,0,1,0,0,3
devicenet,0,0,0,0,0,0,2,0,0,1,0,0,0,3
engineering support,0,0,0,0,0,0,2,0,0,0,1,0,0,3
environmental control,0,0,0,0,0,0,2,0,0,0,1,0,0,3
formability,0,0,1,0,0,0,2,0,0,0,0,0,0,3
health care benefits,0,0,0,0,0,0,2,0,0,0,1,0,0,3
integrated design,0,0,0,0,0,1,2,0,0,0,0,0,0,3
library,0,0,0,0,0,0,2,0,0,0,1,0,0,3
logistics management,0,0,0,0,0,0,2,0,0,0,1,0,0,3
medic,0,0,0,1,0,0,2,0,0,0,0,0,0,3
mobile phones,0,0,0,0,0,0,2,0,0,0,1,0,0,3
object-oriented programming,0,0,0,0,0,1,2,0,0,0,0,0,0,3
operational planning,0,0,0,0,1,0,2,0,0,0,0,0,0,3
prediction,0,0,0,0,0,0,2,0,0,0,1,0,0,3
support engineering,0,0,0,0,0,0,2,0,0,0,1,0,0,3
technology integration,0,0,0,0,0,0,2,1,0,0,0,0,0,3
turnkey,0,0,0,0,1,0,2,0,0,0,0,0,0,3
welding,0,0,0,0,1,0,2,0,0,0,0,0,0,3
technical audit,0,0,2,0,0,0,0,0,0,0,1,0,0,3
competitive intelligence,0,0,2,0,1,0,0,0,0,0,0,0,0,3
profitable growth,0,0,2,0,1,0,0,0,0,0,0,0,0,3
refinement,0,0,2,0,0,0,0,1,0,0,0,0,0,3
target market,0,0,2,0,0,0,0,0,0,0,1,0,0,3
variance analysis,0,0,2,0,0,0,0,0,0,0,0,1,0,3
application testing,0,0,2,0,0,0,0,0,0,0,0,1,0,3
rehabilitation,0,0,2,0,0,0,0,0,0,0,1,0,0,3
dynatrace,0,0,0,2,0,1,0,0,0,0,0,0,0,3
performance engineering,0,0,0,2,0,0,1,0,0,0,0,0,0,3
code structure,0,0,0,2,0,0,0,0,0,0,0,1,0,3
vertica,0,0,0,2,0,0,1,0,0,0,0,0,0,3
building design,0,0,0,0,0,0,1,0,0,2,0,0,0,3
ipv6,0,0,0,1,0,0,0,0,0,2,0,0,0,3
business savvy,0,0,0,0,0,0,1,0,0,0,2,0,0,3
operations research,0,0,0,0,0,0,0,1,0,0,2,0,0,3
customer success,1,0,0,0,0,0,0,0,0,0,2,0,0,3
distributed computing environment,0,0,0,0,1,0,0,0,0,0,2,0,0,3
solderability,0,0,0,0,1,0,0,0,0,0,2,0,0,3
instructional design,0,0,0,0,0,0,0,1,0,0,2,0,0,3
industry practices,0,0,0,0,0,1,0,0,0,0,2,0,0,3
query languages,0,0,0,0,0,0,1,0,0,0,2,0,0,3
agenda,0,0,0,0,0,0,1,0,0,0,2,0,0,3
travel coordination,0,0,0,0,0,0,0,0,0,1,2,0,0,3
typescript,0,0,0,0,0,1,0,0,0,0,2,0,0,3
escalation management,0,0,0,0,1,0,0,0,0,0,2,0,0,3
openid,0,0,0,0,0,1,0,0,0,0,2,0,0,3
recall,0,0,0,0,0,0,0,0,0,0,0,1,2,3
maternity,0,0,0,0,0,0,0,0,0,0,1,2,0,3
workforce development,0,0,0,0,0,0,0,0,0,0,1,2,0,3
customer analysis,1,0,0,1,1,0,0,0,0,0,0,0,0,3
illustration,0,0,0,0,1,0,0,1,0,0,1,0,0,3
organizational structure,0,0,0,0,1,0,0,0,0,1,1,0,0,3
predictive modeling,0,0,0,1,1,0,0,0,0,0,1,0,0,3
stakeholder management,0,0,0,0,1,0,1,1,0,0,0,0,0,3
financial systems,0,0,0,1,1,0,0,0,0,0,1,0,0,3
sales training,0,0,0,0,1,0,0,0,0,0,1,0,1,3
infrastructure architecture,0,0,0,0,1,0,1,0,0,0,1,0,0,3
government contracting,0,0,0,0,1,0,0,1,0,0,1,0,0,3
tablets,0,0,0,0,1,0,1,0,0,0,0,1,0,3
storytelling,0,0,0,1,1,0,0,0,0,0,1,0,0,3
project schedules,0,0,0,0,1,0,1,1,0,0,0,0,0,3
preparedness,0,0,0,0,0,1,0,1,0,0,1,0,0,3
application servers,0,0,0,0,0,1,1,0,0,0,1,0,0,3
delivery performance,0,0,0,1,0,1,0,0,0,0,1,0,0,3
real estate,0,0,0,0,0,1,0,0,0,1,1,0,0,3
market area,0,0,0,0,0,1,0,1,0,1,0,0,0,3
